epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1305.15,0.67977,0.50614,0.92502,0.94449,0.92988,0.97318,0.74119,0.81662,0.52458,0.95426,0.000848969,0.000848969,0.000848969
43,1336.97,0.66206,0.5044,0.92573,0.91282,0.9238,0.96575,0.76584,0.74697,0.53178,0.92887,0.000834822,0.000834822,0.000834822
44,1368.56,0.61548,0.46109,0.8979,0.88787,0.91584,0.9612,0.762,0.72716,0.52899,0.91364,0.000820675,0.000820675,0.000820675
45,1398.76,0.66119,0.49039,0.92103,0.8904,0.93104,0.96468,0.7678,0.72353,0.51675,0.91341,0.000806528,0.000806528,0.000806528
46,1431.14,0.64742,0.45489,0.91198,0.86326,0.93938,0.9637,0.76148,0.73477,0.51136,0.93187,0.00079238,0.00079238,0.00079238
47,1462.23,0.65496,0.48181,0.92331,0.93373,0.90966,0.96572,0.76181,0.73371,0.51478,0.90883,0.000778233,0.000778233,0.000778233
48,1493.22,0.63715,0.46558,0.90718,0.91851,0.91494,0.96558,0.77793,0.71675,0.51927,0.91073,0.000764086,0.000764086,0.000764086
49,1526.18,0.63352,0.46437,0.90086,0.91587,0.91522,0.97198,0.77531,0.72881,0.51603,0.91629,0.000749939,0.000749939,0.000749939
50,1555.6,0.60382,0.43728,0.89711,0.93455,0.93047,0.97124,0.78279,0.68515,0.48959,0.91133,0.000735792,0.000735792,0.000735792
51,1585.27,0.62201,0.4475,0.90948,0.91084,0.91566,0.96159,0.77502,0.71464,0.50903,0.90751,0.000721645,0.000721645,0.000721645
52,1613.8,0.61023,0.44425,0.90988,0.91599,0.94481,0.97573,0.79397,0.70051,0.50016,0.91105,0.000707498,0.000707498,0.000707498
53,1643.44,0.59098,0.4293,0.89572,0.93455,0.92763,0.97146,0.79389,0.68215,0.49056,0.90551,0.000693351,0.000693351,0.000693351
54,1673.27,0.61204,0.43134,0.89757,0.93166,0.92387,0.9702,0.77758,0.69909,0.4818,0.90563,0.000679204,0.000679204,0.000679204
55,1703.89,0.59891,0.4192,0.89632,0.92743,0.93602,0.97363,0.78032,0.68655,0.48652,0.91197,0.000665057,0.000665057,0.000665057
56,1734.4,0.57909,0.41734,0.89247,0.94549,0.9454,0.97613,0.80586,0.65982,0.44748,0.89507,0.000650909,0.000650909,0.000650909
57,1764.86,0.57632,0.41027,0.8788,0.93165,0.9201,0.97249,0.79078,0.68066,0.46904,0.8992,0.000636762,0.000636762,0.000636762
58,1797.19,0.58149,0.40676,0.8969,0.93636,0.91212,0.97093,0.80198,0.66431,0.46771,0.89597,0.000622615,0.000622615,0.000622615
